term,old_file,new_file,old_url,new_url,status
Two-Way Speaker,2wayEnclosure.PNG,two-way-speaker.webp,glossary-images/2wayEnclosure.PNG,glossary-images/two-way-speaker.webp,ok
USB-B,USBb.PNG,usb-b.webp,glossary-images/USBb.PNG,glossary-images/usb-b.webp,ok
USB-C,USBc.PNG,usb-c.webp,glossary-images/USBc.PNG,glossary-images/usb-c.webp,ok
Vacuum tube,VacuumTube.PNG,vacuum-tube.webp,glossary-images/VacuumTube.PNG,glossary-images/vacuum-tube.webp,ok
VU Meter (Volume Unit Meter),VUmeter.PNG,vu-meter.webp,glossary-images/VUmeter.PNG,glossary-images/vu-meter.webp,ok
Weight Distribution,EvenLoadingSign.PNG,weight-distribution.webp,glossary-images/EvenLoadingSign.PNG,glossary-images/weight-distribution.webp,ok
Windscreen,FoamWindScreen.PNG,windscreen.webp,glossary-images/FoamWindScreen.PNG,glossary-images/windscreen.webp,ok
Wire Stripper,StrippingTool.PNG,wire-stripper.webp,glossary-images/StrippingTool.PNG,glossary-images/wire-stripper.webp,ok
Wire Strippers,StrippingTool.PNG,wire-strippers.webp,glossary-images/StrippingTool.PNG,glossary-images/wire-strippers.webp,ok
Wireless microphone,WirelessMic.PNG,wireless-microphone.webp,glossary-images/WirelessMic.PNG,glossary-images/wireless-microphone.webp,ok
woofer,WooferSpeaker.PNG,woofer.webp,glossary-images/WooferSpeaker.PNG,glossary-images/woofer.webp,ok
Work Gloves,WorkGloves.PNG,work-gloves.webp,glossary-images/WorkGloves.PNG,glossary-images/work-gloves.webp,ok
XLR Cable,XLRcable.PNG,xlr-cable.webp,glossary-images/XLRcable.PNG,glossary-images/xlr-cable.webp,NO ART (pre-wire only)
XLRF,XLRFconnector.PNG,xlrf.webp,glossary-images/XLRFconnector.PNG,glossary-images/xlrf.webp,NO ART (pre-wire only)
XLRM,XLRMconnector.PNG,xlrm.webp,glossary-images/XLRMconnector.PNG,glossary-images/xlrm.webp,NO ART (pre-wire only)
